,education_attained,enrollment_status,age,sample_weight,employed
602,21,0,59.0,21.0,1
603,16,0,85.0,29.0,1
604,21,0,29.0,19.0,1
605,21,0,31.0,25.0,1
606,21,0,1.0,14.0,1
607,21,0,39.0,14.0,1
608,19,0,61.0,25.0,1
609,19,0,55.0,25.0,1
610,19,0,25.0,32.0,1
611,12,0,15.0,26.0,1
612,20,0,87.0,29.0,1
613,20,0,82.0,13.0,1
614,20,0,63.0,14.0,0
615,21,0,86.0,8.0,1
616,21,0,27.0,48.0,1
617,15,0,43.0,14.0,1
618,16,1,42.0,13.0,1
619,16,1,21.0,13.0,1
620,13,1,18.0,16.0,1
621,10,1,14.0,15.0,1
622,08,1,11.0,15.0,1
623,02,1,6.0,10.0,1
624,16,0,36.0,22.0,1
625,21,0,51.0,27.0,1
626,20,0,49.0,34.0,1
627,01,0,3.0,21.0,1
628,01,0,3.0,21.0,1
629,19,0,78.0,14.0,1
630,19,0,70.0,12.0,1
631,19,0,49.0,57.0,1
632,21,0,88.0,34.0,1
633,01,0,44.0,13.0,1
634,20,0,32.0,16.0,1
635,12,0,15.0,12.0,1
636,10,0,12.0,14.0,1
637,01,0,58.0,15.0,1
638,16,0,54.0,18.0,1
639,20,0,57.0,29.0,1
640,16,0,84.0,1.0,1
641,12,0,58.0,54.0,1
642,16,0,34.0,44.0,1
643,19,0,53.0,19.0,1
644,21,0,82.0,15.0,1
645,19,0,49.0,20.0,1
646,19,0,46.0,20.0,1
647,22,0,68.0,14.0,1
648,21,0,60.0,12.0,1
649,16,0,49.0,16.0,1
650,19,0,51.0,16.0,1
651,21,0,22.0,17.0,1
652,13,0,17.0,20.0,1
653,17,0,64.0,35.0,1
654,19,0,52.0,21.0,1
655,19,0,51.0,22.0,1
656,22,0,61.0,21.0,1
657,21,0,74.0,21.0,1
658,21,0,35.0,4.0,1
659,15,0,50.0,14.0,1
660,20,1,23.0,17.0,1
661,13,1,53.0,16.0,1
662,12,1,15.0,15.0,1
663,21,0,37.0,11.0,1
664,20,0,33.0,11.0,1
665,01,0,3.0,14.0,1
666,21,0,0.0,12.0,1
667,19,0,23.0,4.0,0
668,01,0,4.0,5.0,1
669,01,0,3.0,5.0,1
670,21,0,0.0,5.0,1
671,14,0,26.0,2.0,1
672,15,0,35.0,14.0,1
673,14,0,19.0,43.0,1
674,13,0,16.0,24.0,1
675,10,0,13.0,11.0,1
676,07,0,11.0,11.0,1
677,01,0,3.0,27.0,1
678,21,0,68.0,52.0,1
679,17,0,59.0,13.0,1
680,17,0,34.0,19.0,1
681,11,0,14.0,21.0,1
682,21,0,58.0,15.0,1
683,21,0,52.0,16.0,1
684,16,0,62.0,12.0,1
685,15,0,61.0,11.0,1
686,21,0,42.0,15.0,1
687,21,0,36.0,15.0,1
688,05,0,9.0,14.0,1
689,03,0,7.0,13.0,1
690,03,0,7.0,13.0,1
691,02,1,6.0,14.0,1
692,16,0,48.0,58.0,1
693,13,0,59.0,39.0,1
694,14,0,39.0,15.0,1
695,20,0,40.0,15.0,1
696,11,0,14.0,13.0,1
697,09,0,12.0,13.0,1
698,05,0,9.0,14.0,1
